Period,1M,3M,6M,1Y,3Y,5Y,7Y,10Y,30Y,10Y - 2Y
Jan-25,10.05,9.94,9.94,10.06,9.87,10,10.08,10.38,10.67,n.a.
Dec-24,10.529,10.369,10.226,10.093,10.207,10.364,10.448,10.84,11.171,n.a.
Dec-23,11.92,11.723,11.648,11.158,9.859,9.7,9.295,9.288,9.434,n.a.
Dec-22,10.746,11.21,11.149,10.924,10.286,9.55,9.403,9.347,9.428,n.a.
Dec-21,5.626,6.005,6.387,6.919,7.465,7.653,7.701,7.815,8.343,n.a.
Dec-20,4.29,4.391,4.355,4.291,4.479,4.611,5.114,5.417,6.766,n.a.
Dec-19,7.493,7.507,7.392,7.198,6.964,6.95,7.044,7.067,7.432,n.a.
Dec-18,8.21,8.3,8.59,8.66,8.56,8.6,8.67,8.71,8.96,n.a.
Dec-17,7.28,7.37,7.52,7.6,7.58,7.68,7.62,7.72,7.89,n.a.
Dec-16,5.79,5.97,6.26,6.41,6.96,7.19,7.32,7.45,7.82,n.a.
Dec-15,3.03,3.28,3.54,3.67,4.84,5.72,5.946,6.27,6.98,n.a.
